S	I	R	t
194	63	143	0.759167
194	63	143	0.76
194	63	143	0.760833
195	62	143	0.761667
195	62	143	0.7625
195	62	143	0.763333
194	62	144	0.764167
194	62	144	0.765
194	61	145	0.765833
194	61	145	0.766667
194	61	145	0.7675
194	60	146	0.768333
194	59	147	0.769167
192	61	147	0.77
192	61	147	0.770833
192	61	147	0.771667
192	61	147	0.7725
192	61	147	0.773333
192	61	147	0.774167
192	61	147	0.775
192	61	147	0.775833
192	60	148	0.776667
192	60	148	0.7775
192	60	148	0.778333
192	60	148	0.779167
192	60	148	0.78
192	60	148	0.780833
191	60	149	0.781667
191	60	149	0.7825
191	60	149	0.783333
191	60	149	0.784167
190	61	149	0.785
190	59	151	0.785833
190	59	151	0.786667
190	59	151	0.7875
191	59	150	0.788333
191	59	150	0.789167
191	59	150	0.79
191	59	150	0.790833
191	59	150	0.791667
191	59	150	0.7925
191	59	150	0.793333
191	58	151	0.794167
191	58	151	0.795
191	58	151	0.795833
191	58	151	0.796667
191	58	151	0.7975
191	58	151	0.798333
191	58	151	0.799167
191	57	152	0.8
191	57	152	0.800833
191	57	152	0.801667
191	56	153	0.8025
191	56	153	0.803333
191	56	153	0.804167
191	56	153	0.805
191	56	153	0.805833
191	56	153	0.806667
193	56	151	0.8075
193	56	151	0.808333
193	56	151	0.809167
193	56	151	0.81
193	56	151	0.810833
193	56	151	0.811667
193	56	151	0.8125
193	56	151	0.813333
193	56	151	0.814167
193	56	151	0.815
193	56	151	0.815833
192	57	151	0.816667
191	58	151	0.8175
192	58	150	0.818333
192	58	150	0.819167
192	57	151	0.82
192	57	151	0.820833
192	57	151	0.821667
192	57	151	0.8225
192	56	152	0.823333
192	56	152	0.824167
192	56	152	0.825
192	56	152	0.825833
192	56	152	0.826667
192	56	152	0.8275
192	55	153	0.828333
192	55	153	0.829167
192	55	153	0.83
192	55	153	0.830833
192	55	153	0.831667
192	55	153	0.8325
192	55	153	0.833333
192	55	153	0.834167
192	54	154	0.835
193	54	153	0.835833
192	55	153	0.836667
192	55	153	0.8375
192	55	153	0.838333
192	55	153	0.839167
192	55	153	0.84
192	54	154	0.840833
191	55	154	0.841667
191	55	154	0.8425
192	55	153	0.843333
193	55	152	0.844167
194	54	152	0.845
194	54	152	0.845833
194	54	152	0.846667
194	54	152	0.8475
194	54	152	0.848333
194	53	153	0.849167
194	53	153	0.85
194	53	153	0.850833
194	53	153	0.851667
193	54	153	0.8525
193	54	153	0.853333
193	54	153	0.854167
193	54	153	0.855
193	54	153	0.855833
193	54	153	0.856667
193	54	153	0.8575
194	54	152	0.858333
194	54	152	0.859167
194	54	152	0.86
194	54	152	0.860833
193	55	152	0.861667
193	55	152	0.8625
192	56	152	0.863333
192	56	152	0.864167
192	55	153	0.865
191	55	154	0.865833
191	54	155	0.866667
192	54	154	0.8675
192	53	155	0.868333
192	53	155	0.869167
192	52	156	0.87
192	51	157	0.870833
192	51	157	0.871667
192	51	157	0.8725
191	52	157	0.873333
191	52	157	0.874167
191	52	157	0.875
192	52	156	0.875833
192	52	156	0.876667
191	53	156	0.8775
191	53	156	0.878333
191	53	156	0.879167
191	53	156	0.88
191	53	156	0.880833
191	53	156	0.881667
191	52	157	0.8825
191	52	157	0.883333
191	52	157	0.884167
192	52	156	0.885
192	52	156	0.885833
192	52	156	0.886667
192	51	157	0.8875
192	51	157	0.888333
192	51	157	0.889167
192	51	157	0.89
192	51	157	0.890833
192	51	157	0.891667
192	51	157	0.8925
192	51	157	0.893333
192	51	157	0.894167
192	50	158	0.895
192	50	158	0.895833
192	50	158	0.896667
192	50	158	0.8975
192	50	158	0.898333
193	50	157	0.899167
193	50	157	0.9
193	50	157	0.900833
193	50	157	0.901667
193	50	157	0.9025
193	50	157	0.903333
193	50	157	0.904167
193	50	157	0.905
193	50	157	0.905833
193	50	157	0.906667
193	50	157	0.9075
193	50	157	0.908333
193	50	157	0.909167
193	50	157	0.91
193	50	157	0.910833
193	50	157	0.911667
193	50	157	0.9125
193	50	157	0.913333
192	51	157	0.914167
192	51	157	0.915
190	53	157	0.915833
190	53	157	0.916667
190	53	157	0.9175
190	53	157	0.918333
190	52	158	0.919167
190	52	158	0.92
190	52	158	0.920833
190	52	158	0.921667
190	52	158	0.9225
189	53	158	0.923333
189	53	158	0.924167
189	53	158	0.925
189	53	158	0.925833
189	53	158	0.926667
189	52	159	0.9275
188	53	159	0.928333
188	54	158	0.929167
188	54	158	0.93
188	54	158	0.930833
188	54	158	0.931667
187	55	158	0.9325
187	55	158	0.933333
187	55	158	0.934167
187	55	158	0.935
187	55	158	0.935833
187	55	158	0.936667
187	55	158	0.9375
187	54	159	0.938333
187	54	159	0.939167
187	53	160	0.94
187	52	161	0.940833
186	53	161	0.941667
187	53	160	0.9425
187	53	160	0.943333
187	52	161	0.944167
187	52	161	0.945
187	52	161	0.945833
187	52	161	0.946667
187	52	161	0.9475
187	52	161	0.948333
187	52	161	0.949167
187	52	161	0.95
187	52	161	0.950833
187	52	161	0.951667
187	52	161	0.9525
187	52	161	0.953333
187	52	161	0.954167
187	52	161	0.955
187	51	162	0.955833
187	50	163	0.956667
187	50	163	0.9575
186	51	163	0.958333
186	51	163	0.959167
186	51	163	0.96
186	51	163	0.960833
186	51	163	0.961667
185	52	163	0.9625
185	52	163	0.963333
185	52	163	0.964167
185	52	163	0.965
185	52	163	0.965833
185	52	163	0.966667
185	52	163	0.9675
185	52	163	0.968333
186	52	162	0.969167
186	52	162	0.97
186	52	162	0.970833
186	52	162	0.971667
186	51	163	0.9725
186	50	164	0.973333
186	50	164	0.974167
186	49	165	0.975
187	49	164	0.975833
187	49	164	0.976667
187	49	164	0.9775
187	49	164	0.978333
187	49	164	0.979167
187	49	164	0.98
187	49	164	0.980833
187	49	164	0.981667
187	49	164	0.9825
187	49	164	0.983333
187	49	164	0.984167
187	49	164	0.985
187	49	164	0.985833
187	49	164	0.986667
187	49	164	0.9875
188	49	163	0.988333
187	50	163	0.989167
187	50	163	0.99
187	50	163	0.990833
187	50	163	0.991667
187	49	164	0.9925
187	48	165	0.993333
187	48	165	0.994167
186	49	165	0.995
186	49	165	0.995833
186	49	165	0.996667
185	50	165	0.9975
185	50	165	0.998333
185	50	165	0.999167
185	50	165	1
185	50	165	1.00083
185	50	165	1.00167
185	50	165	1.0025
185	50	165	1.00333
185	50	165	1.00417
185	50	165	1.005
185	50	165	1.00583
185	50	165	1.00667
187	50	163	1.0075
187	50	163	1.00833
187	50	163	1.00917
187	50	163	1.01
187	49	164	1.01083
188	49	163	1.01167
187	50	163	1.0125
187	50	163	1.01333
187	50	163	1.01417
187	50	163	1.015
187	50	163	1.01583
187	50	163	1.01667
186	51	163	1.0175
186	51	163	1.01833
186	51	163	1.01917
186	51	163	1.02
186	51	163	1.02083
186	51	163	1.02167
186	51	163	1.0225
186	51	163	1.02333
186	51	163	1.02417
186	51	163	1.025
186	51	163	1.02583
185	52	163	1.02667
185	52	163	1.0275
185	52	163	1.02833
184	53	163	1.02917
184	53	163	1.03
184	53	163	1.03083
184	53	163	1.03167
184	53	163	1.0325
185	53	162	1.03333
185	52	163	1.03417
185	52	163	1.035
185	52	163	1.03583
185	52	163	1.03667
185	52	163	1.0375
185	53	162	1.03833
185	53	162	1.03917
185	52	163	1.04
186	52	162	1.04083
186	52	162	1.04167
186	52	162	1.0425
186	52	162	1.04333
186	52	162	1.04417
187	52	161	1.045
188	52	160	1.04583
188	52	160	1.04667
188	52	160	1.0475
188	52	160	1.04833
188	52	160	1.04917
188	52	160	1.05
188	52	160	1.05083
188	52	160	1.05167
188	52	160	1.0525
187	53	160	1.05333
187	53	160	1.05417
187	53	160	1.055
187	52	161	1.05583
187	52	161	1.05667
187	52	161	1.0575
188	51	161	1.05833
188	51	161	1.05917
189	51	160	1.06
189	51	160	1.06083
189	51	160	1.06167
189	51	160	1.0625
189	51	160	1.06333
189	51	160	1.06417
189	51	160	1.065
189	51	160	1.06583
189	51	160	1.06667
