x	y	z	t
-0.230282	-1.70154	0	2.625
-0.207415	-1.70526	0	2.63
-0.184504	-1.70865	0	2.635
-0.161553	-1.71171	0	2.64
-0.138566	-1.71444	0	2.645
-0.115547	-1.71684	0	2.65
-0.0925013	-1.7189	0	2.655
-0.0694334	-1.72063	0	2.66
-0.0463475	-1.72203	0	2.665
-0.0232482	-1.72309	0	2.67
-0.000140021	-1.72382	0	2.675
0.0229727	-1.72422	0	2.68
0.0460854	-1.72429	0	2.685
0.0691937	-1.72403	0	2.69
0.0922932	-1.72343	0	2.695
0.115379	-1.72251	0	2.7
0.138448	-1.72125	0	2.705
0.161494	-1.71966	0	2.71
0.184514	-1.71774	0	2.715
0.207503	-1.7155	0	2.72
0.230456	-1.71292	0	2.725
0.25337	-1.71002	0	2.73
0.27624	-1.70679	0	2.735
0.299061	-1.70323	0	2.74
0.32183	-1.69934	0	2.745
0.344541	-1.69514	0	2.75
0.367191	-1.6906	0	2.755
0.389776	-1.68575	0	2.76
0.41229	-1.68057	0	2.765
0.43473	-1.67507	0	2.77
0.457092	-1.66925	0	2.775
0.479371	-1.66311	0	2.78
0.501563	-1.65665	0	2.785
0.523663	-1.64988	0	2.79
0.545668	-1.64279	0	2.795
0.567574	-1.63539	0	2.8
0.589376	-1.62767	0	2.805
0.611069	-1.61964	0	2.81
0.632651	-1.61131	0	2.815
0.654116	-1.60266	0	2.82
0.675461	-1.59371	0	2.825
0.696681	-1.58446	0	2.83
0.717773	-1.5749	0	2.835
0.738733	-1.56504	0	2.84
0.759555	-1.55488	0	2.845
0.780237	-1.54442	0	2.85
0.800775	-1.53366	0	2.855
0.821163	-1.52262	0	2.86
0.841399	-1.51127	0	2.865
0.861479	-1.49964	0	2.87
0.881398	-1.48772	0	2.875
0.901153	-1.47552	0	2.88
0.920739	-1.46303	0	2.885
0.940154	-1.45026	0	2.89
0.959392	-1.43721	0	2.895
0.978451	-1.42388	0	2.9
0.997326	-1.41027	0	2.905
1.01601	-1.3964	0	2.91
1.03451	-1.38225	0	2.915
1.05281	-1.36784	0	2.92
1.07092	-1.35316	0	2.925
1.08882	-1.33822	0	2.93
1.10651	-1.32302	0	2.935
1.124	-1.30756	0	2.94
1.14128	-1.29185	0	2.945
1.15833	-1.27588	0	2.95
1.17517	-1.25967	0	2.955
1.19179	-1.24321	0	2.96
1.20817	-1.22651	0	2.965
1.22433	-1.20957	0	2.97
1.24025	-1.19239	0	2.975
1.25594	-1.17497	0	2.98
1.27139	-1.15733	0	2.985
1.28659	-1.13945	0	2.99
1.30154	-1.12136	0	2.995
1.31625	-1.10304	0	3
1.3307	-1.0845	0	3.005
1.3449	-1.06575	0	3.01
1.35883	-1.04678	0	3.015
1.37251	-1.02761	0	3.02
1.38591	-1.00823	0	3.025
1.39905	-0.988655	0	3.03
1.41192	-0.968879	0	3.035
1.42451	-0.948909	0	3.04
1.43683	-0.928749	0	3.045
1.44886	-0.908401	0	3.05
1.46061	-0.887871	0	3.055
1.47208	-0.867162	0	3.06
1.48325	-0.846276	0	3.065
1.49414	-0.82522	0	3.07
1.50473	-0.803995	0	3.075
1.51502	-0.782607	0	3.08
1.52502	-0.761059	0	3.085
1.53471	-0.739355	0	3.09
1.5441	-0.7175	0	3.095
1.55319	-0.695497	0	3.1
1.56196	-0.67335	0	3.105
1.57043	-0.651065	0	3.11
1.57858	-0.628644	0	3.115
1.58641	-0.606092	0	3.12
1.59393	-0.583414	0	3.125
1.60113	-0.560614	0	3.13
1.60801	-0.537696	0	3.135
1.61456	-0.514664	0	3.14
1.62079	-0.491524	0	3.145
1.62668	-0.46828	0	3.15
1.63226	-0.444935	0	3.155
1.63749	-0.421495	0	3.16
1.6424	-0.397965	0	3.165
1.64697	-0.374349	0	3.17
1.65121	-0.350651	0	3.175
1.65511	-0.326876	0	3.18
1.65867	-0.30303	0	3.185
1.66189	-0.279116	0	3.19
1.66477	-0.25514	0	3.195
1.6673	-0.231106	0	3.2
1.6695	-0.20702	0	3.205
1.67134	-0.182886	0	3.21
1.67284	-0.158709	0	3.215
1.674	-0.134494	0	3.22
1.6748	-0.110246	0	3.225
1.67526	-0.0859696	0	3.23
1.67537	-0.0616705	0	3.235
1.67512	-0.0373535	0	3.24
1.67453	-0.0130235	0	3.245
1.67358	0.0113144	0	3.25
1.67229	0.0356549	0	3.255
1.67064	0.0599931	0	3.26
1.66864	0.0843238	0	3.265
1.66628	0.108642	0	3.27
1.66357	0.132942	0	3.275
1.66051	0.157219	0	3.28
1.6571	0.181468	0	3.285
1.65333	0.205683	0	3.29
1.64921	0.22986	0	3.295
1.64473	0.253993	0	3.3
1.63991	0.278077	0	3.305
1.63473	0.302106	0	3.31
1.6292	0.326076	0	3.315
1.62332	0.349981	0	3.32
1.61708	0.373815	0	3.325
1.6105	0.397575	0	3.33
1.60357	0.421253	0	3.335
1.59629	0.444846	0	3.34
1.58867	0.468347	0	3.345
1.58069	0.491752	0	3.35
1.57237	0.515055	0	3.355
1.56371	0.538251	0	3.36
1.55471	0.561335	0	3.365
1.54536	0.584302	0	3.37
1.53568	0.607146	0	3.375
1.52565	0.629861	0	3.38
1.51529	0.652444	0	3.385
1.5046	0.674889	0	3.39
1.49357	0.69719	0	3.395
1.48221	0.719343	0	3.4
1.47052	0.741342	0	3.405
1.45851	0.763182	0	3.41
1.44617	0.784858	0	3.415
1.4335	0.806366	0	3.42
1.42052	0.8277	0	3.425
1.40722	0.848854	0	3.43
1.3936	0.869825	0	3.435
1.37967	0.890608	0	3.44
1.36543	0.911196	0	3.445
1.35089	0.931586	0	3.45
1.33603	0.951773	0	3.455
1.32088	0.971752	0	3.46
1.30543	0.991518	0	3.465
1.28968	1.01107	0	3.47
1.27364	1.03039	0	3.475
1.25731	1.04949	0	3.48
1.24069	1.06836	0	3.485
1.22379	1.08699	0	3.49
1.20661	1.10538	0	3.495
1.18916	1.12353	0	3.5
1.17144	1.14143	0	3.505
1.15344	1.15908	0	3.51
1.13519	1.17646	0	3.515
1.11667	1.19359	0	3.52
1.0979	1.21045	0	3.525
1.07887	1.22704	0	3.53
1.0596	1.24336	0	3.535
1.04008	1.2594	0	3.54
1.02032	1.27516	0	3.545
1.00032	1.29063	0	3.55
0.9801	1.30581	0	3.555
0.959648	1.3207	0	3.56
0.938974	1.3353	0	3.565
0.918082	1.34959	0	3.57
0.896977	1.36359	0	3.575
0.875664	1.37727	0	3.58
0.854147	1.39065	0	3.585
0.832431	1.40371	0	3.59
0.810521	1.41646	0	3.595
0.788423	1.42889	0	3.6
0.76614	1.441	0	3.605
0.743678	1.45278	0	3.61
0.721043	1.46424	0	3.615
0.698238	1.47536	0	3.62
0.67527	1.48616	0	3.625
0.652143	1.49662	0	3.63
0.628863	1.50674	0	3.635
0.605436	1.51652	0	3.64
0.581865	1.52596	0	3.645
0.558158	1.53506	0	3.65
0.534318	1.54381	0	3.655
0.510352	1.55221	0	3.66
0.486265	1.56027	0	3.665
0.462063	1.56797	0	3.67
0.437751	1.57532	0	3.675
0.413334	1.58232	0	3.68
0.388818	1.58896	0	3.685
0.36421	1.59524	0	3.69
0.339513	1.60116	0	3.695
0.314735	1.60673	0	3.7
0.28988	1.61193	0	3.705
0.264954	1.61678	0	3.71
0.239963	1.62126	0	3.715
0.214913	1.62538	0	3.72
0.189809	1.62913	0	3.725
0.164657	1.63252	0	3.73
0.139462	1.63555	0	3.735
0.11423	1.63821	0	3.74
0.0889679	1.64051	0	3.745
0.0636798	1.64244	0	3.75
0.038372	1.64401	0	3.755
0.01305	1.64521	0	3.76
-0.0122805	1.64605	0	3.765
-0.0376139	1.64652	0	3.77
-0.0629446	1.64663	0	3.775
-0.088267	1.64637	0	3.78
-0.113575	1.64575	0	3.785
-0.138865	1.64477	0	3.79
-0.164129	1.64343	0	3.795
-0.189362	1.64173	0	3.8
-0.21456	1.63966	0	3.805
-0.239716	1.63724	0	3.81
-0.264826	1.63446	0	3.815
-0.289883	1.63132	0	3.82
-0.314882	1.62783	0	3.825
-0.339819	1.62398	0	3.83
