x	y	z	t
0.631206	-0.775822	0	3.855
0.655258	-0.755613	0	3.86
0.678663	-0.734659	0	3.865
0.701399	-0.71298	0	3.87
0.723443	-0.690597	0	3.875
0.744774	-0.667534	0	3.88
0.765369	-0.643812	0	3.885
0.78521	-0.619454	0	3.89
0.804276	-0.594486	0	3.895
0.822548	-0.568931	0	3.9
0.840009	-0.542815	0	3.905
0.856641	-0.516163	0	3.91
0.872429	-0.489002	0	3.915
0.887355	-0.461358	0	3.92
0.901406	-0.43326	0	3.925
0.914567	-0.404734	0	3.93
0.926827	-0.375808	0	3.935
0.938171	-0.346512	0	3.94
0.948591	-0.316874	0	3.945
0.958074	-0.286924	0	3.95
0.966612	-0.25669	0	3.955
0.974197	-0.226203	0	3.96
0.98082	-0.195493	0	3.965
0.986475	-0.16459	0	3.97
0.991158	-0.133524	0	3.975
0.994862	-0.102327	0	3.98
0.997585	-0.0710292	0	3.985
0.999324	-0.039661	0	3.99
1.00008	-0.00825363	0	3.995
0.999842	0.0231618	0	4
0.998621	0.0545544	0	4.005
0.996416	0.0858932	0	4.01
0.993227	0.117147	0	4.015
0.989058	0.148286	0	4.02
0.983913	0.179278	0	4.025
0.977797	0.210093	0	4.03
0.970717	0.240701	0	4.035
0.962679	0.271072	0	4.04
0.953691	0.301175	0	4.045
0.943763	0.330981	0	4.05
0.932903	0.36046	0	4.055
0.921123	0.389584	0	4.06
0.908434	0.418323	0	4.065
0.894848	0.44665	0	4.07
0.88038	0.474536	0	4.075
